index,Country,Subject,Gender,Year,Value
213,MEX,MATH,GIRL,2018,403.0
214,NLD,MATH,BOY,2003,540.0
215,NLD,MATH,BOY,2006,537.0
216,NLD,MATH,BOY,2009,534.0
217,NLD,MATH,BOY,2012,527.967
218,NLD,MATH,BOY,2015,513.0
219,NLD,MATH,BOY,2018,520.0
220,NLD,MATH,GIRL,2003,535.0
221,NLD,MATH,GIRL,2006,524.0
222,NLD,MATH,GIRL,2009,517.0
223,NLD,MATH,GIRL,2012,517.738
224,NLD,MATH,GIRL,2015,511.0
225,NLD,MATH,GIRL,2018,519.0
226,NZL,MATH,BOY,2003,531.0
227,NZL,MATH,BOY,2006,527.0
228,NZL,MATH,BOY,2009,523.0
229,NZL,MATH,BOY,2012,507.112
230,NZL,MATH,BOY,2015,499.0
231,NZL,MATH,BOY,2018,499.0
232,NZL,MATH,GIRL,2003,516.0
233,NZL,MATH,GIRL,2006,517.0
234,NZL,MATH,GIRL,2009,515.0
235,NZL,MATH,GIRL,2012,492.057
236,NZL,MATH,GIRL,2015,491.0
237,NZL,MATH,GIRL,2018,490.0
238,NOR,MATH,BOY,2003,498.0
239,NOR,MATH,BOY,2006,493.0
240,NOR,MATH,BOY,2009,500.0
241,NOR,MATH,BOY,2012,490.399
242,NOR,MATH,BOY,2015,501.0
243,NOR,MATH,BOY,2018,497.0
244,NOR,MATH,GIRL,2003,492.0
245,NOR,MATH,GIRL,2006,487.0
246,NOR,MATH,GIRL,2009,495.0
247,NOR,MATH,GIRL,2012,488.293
248,NOR,MATH,GIRL,2015,503.0
249,NOR,MATH,GIRL,2018,505.0
250,POL,MATH,BOY,2003,493.0
251,POL,MATH,BOY,2006,500.0
252,POL,MATH,BOY,2009,497.0
253,POL,MATH,BOY,2012,519.564
254,POL,MATH,BOY,2015,510.0
255,POL,MATH,BOY,2018,516.0
256,POL,MATH,GIRL,2003,487.0
257,POL,MATH,GIRL,2006,491.0
258,POL,MATH,GIRL,2009,493.0
259,POL,MATH,GIRL,2012,515.533
260,POL,MATH,GIRL,2015,499.0
261,POL,MATH,GIRL,2018,515.0
262,PRT,MATH,BOY,2003,472.0
263,PRT,MATH,BOY,2006,474.0
264,PRT,MATH,BOY,2009,493.0
265,PRT,MATH,BOY,2012,492.703
266,PRT,MATH,BOY,2015,497.0
267,PRT,MATH,BOY,2018,497.0
268,PRT,MATH,GIRL,2003,460.0
269,PRT,MATH,GIRL,2006,459.0
270,PRT,MATH,GIRL,2009,481.0
271,PRT,MATH,GIRL,2012,481.296
272,PRT,MATH,GIRL,2015,487.0
273,PRT,MATH,GIRL,2018,488.0
274,SVK,MATH,BOY,2003,507.0
275,SVK,MATH,BOY,2006,499.0
276,SVK,MATH,BOY,2009,498.0
277,SVK,MATH,BOY,2012,486.134
278,SVK,MATH,BOY,2015,478.0
